x_timestamp,yhat
2020-12-31 00:00:00+05:30,0.034
2020-12-31 01:00:00+05:30,0.063
2020-12-31 02:00:00+05:30,0.08
2020-12-31 03:00:00+05:30,0.067
2020-12-31 04:00:00+05:30,0.059000000000000004
2020-12-31 05:00:00+05:30,0.066
2020-12-31 06:00:00+05:30,0.27899999999999997
2020-12-31 07:00:00+05:30,0.263
2020-12-31 08:00:00+05:30,0.101
2020-12-31 09:00:00+05:30,0.244
2020-12-31 10:00:00+05:30,0.099
2020-12-31 11:00:00+05:30,0.242
2020-12-31 12:00:00+05:30,0.083
2020-12-31 13:00:00+05:30,0.076
2020-12-31 14:00:00+05:30,0.122
2020-12-31 15:00:00+05:30,0.057999999999999996
2020-12-31 16:00:00+05:30,0.041999999999999996
2020-12-31 17:00:00+05:30,0.087
2020-12-31 18:00:00+05:30,0.112
2020-12-31 19:00:00+05:30,0.243
2020-12-31 20:00:00+05:30,0.176
2020-12-31 21:00:00+05:30,0.08700000000000001
2020-12-31 22:00:00+05:30,0.106
2020-12-31 23:00:00+05:30,0.06
